Dataset;Distance metric;k;Accuracy
biodegradation;hassanat;3;82.596114
biodegradation;euclidean;3;74.323837
biodegradation;cosine;3;69.682047
biodegradation;bhattacharyya;3;64.465253
biodegradation;pearson;3;49.633663
biodegradation;kullbackLeibler;3;49.633663
biodegradation;lorentzian;3;49.633663
biodegradation;hassanat;5;83.951242
biodegradation;euclidean;5;76.536428
biodegradation;cosine;5;71.62012
biodegradation;bhattacharyya;5;64.962358
biodegradation;pearson;5;50.275173
biodegradation;kullbackLeibler;5;50.275173
biodegradation;lorentzian;5;50.275173
biodegradation;hassanat;7;83.883336
biodegradation;euclidean;7;76.005791
biodegradation;cosine;7;71.200355
biodegradation;bhattacharyya;7;65.270876
biodegradation;pearson;7;56.139922
biodegradation;lorentzian;7;56.139922
biodegradation;kullbackLeibler;7;56.139922
bupa;hassanat;3;66.395238
bupa;pearson;3;65.871429
bupa;cosine;3;64.457143
bupa;euclidean;3;63.790476
bupa;bhattacharyya;3;57.733333
bupa;kullbackLeibler;3;57.004762
bupa;lorentzian;3;54.190476
bupa;hassanat;5;67.638095
bupa;pearson;5;67.12381
bupa;cosine;5;66.390476
bupa;euclidean;5;66.3
bupa;bhattacharyya;5;58.095238
bupa;kullbackLeibler;5;57.757143
bupa;lorentzian;5;53.238095
bupa;pearson;7;69.585714
bupa;hassanat;7;68.761905
bupa;cosine;7;68.695238
bupa;euclidean;7;68.642857
bupa;kullbackLeibler;7;58.919048
bupa;bhattacharyya;7;58.066667
bupa;lorentzian;7;53.238095
ionosphere;hassanat;3;90.351852
ionosphere;cosine;3;85.398148
ionosphere;euclidean;3;84.694444
ionosphere;bhattacharyya;3;53.138889
ionosphere;pearson;3;53
ionosphere;kullbackLeibler;3;53
ionosphere;lorentzian;3;45.851852
ionosphere;hassanat;5;89.712963
ionosphere;euclidean;5;84.398148
ionosphere;cosine;5;84.037037
ionosphere;bhattacharyya;5;53.768519
ionosphere;pearson;5;53.666667
ionosphere;kullbackLeibler;5;53.666667
ionosphere;lorentzian;5;46.388889
ionosphere;hassanat;7;89.083333
ionosphere;cosine;7;83.518519
ionosphere;euclidean;7;83.305556
ionosphere;bhattacharyya;7;56.759259
ionosphere;pearson;7;56.5
ionosphere;kullbackLeibler;7;56.5
ionosphere;lorentzian;7;44.768519
pima;hassanat;3;69.701645
pima;euclidean;3;69.337662
pima;pearson;3;66.008485
pima;cosine;3;64.47013
pima;lorentzian;3;61.08658
pima;kullbackLeibler;3;49.836537
pima;bhattacharyya;3;49.215931
pima;euclidean;5;71.264242
pima;hassanat;5;70.913247
pima;cosine;5;68.503723
pima;pearson;5;66.685195
pima;lorentzian;5;55.376623
pima;kullbackLeibler;5;45.396537
pima;bhattacharyya;5;36.840173
pima;hassanat;7;73.69974
pima;euclidean;7;72.553074
pima;cosine;7;70.382511
pima;pearson;7;66.711169
pima;lorentzian;7;45.220779
pima;kullbackLeibler;7;40.38355
pima;bhattacharyya;7;35.306667
seismic-bumps;pearson;3;93.420727
seismic-bumps;kullbackLeibler;3;93.420727
seismic-bumps;lorentzian;3;93.420727
seismic-bumps;cosine;3;92.299205
seismic-bumps;hassanat;3;92.1205
seismic-bumps;euclidean;3;91.840493
seismic-bumps;bhattacharyya;3;91.121232
seismic-bumps;pearson;5;93.420727
seismic-bumps;kullbackLeibler;5;93.420727
seismic-bumps;lorentzian;5;93.420727
seismic-bumps;hassanat;5;93.076274
seismic-bumps;cosine;5;92.933234
seismic-bumps;bhattacharyya;5;92.810689
seismic-bumps;euclidean;5;92.769606
seismic-bumps;pearson;7;93.420727
seismic-bumps;kullbackLeibler;7;93.420727
seismic-bumps;lorentzian;7;93.420727
seismic-bumps;bhattacharyya;7;93.35509
seismic-bumps;hassanat;7;93.215636
seismic-bumps;cosine;7;93.172799
seismic-bumps;euclidean;7;93.029484
sonar;cosine;3;82.460317
sonar;hassanat;3;82.198413
sonar;euclidean;3;82.126984
sonar;pearson;3;81.746032
sonar;kullbackLeibler;3;66.888889
sonar;bhattacharyya;3;64.555556
sonar;lorentzian;3;43.571429
sonar;hassanat;5;83.571429
sonar;euclidean;5;81.087302
sonar;cosine;5;79.888889
sonar;pearson;5;77.071429
sonar;kullbackLeibler;5;62.936508
sonar;bhattacharyya;5;59.968254
sonar;lorentzian;5;43.365079
sonar;hassanat;7;80.547619
sonar;cosine;7;77.134921
sonar;euclidean;7;76.253968
sonar;pearson;7;71.206349
sonar;kullbackLeibler;7;60.753968
sonar;bhattacharyya;7;56.920635
sonar;lorentzian;7;40.071429
ThoraricSurgery;lorentzian;3;85.106383
ThoraricSurgery;pearson;3;85.106383
ThoraricSurgery;kullbackLeibler;3;85.106383
ThoraricSurgery;hassanat;3;83.276596
ThoraricSurgery;cosine;3;82.170213
ThoraricSurgery;bhattacharyya;3;81.553191
ThoraricSurgery;euclidean;3;81.382979
ThoraricSurgery;pearson;5;85.106383
ThoraricSurgery;kullbackLeibler;5;85.106383
ThoraricSurgery;lorentzian;5;85.106383
ThoraricSurgery;hassanat;5;84
ThoraricSurgery;cosine;5;83.723404
ThoraricSurgery;euclidean;5;83.702128
ThoraricSurgery;bhattacharyya;5;75.361702
ThoraricSurgery;pearson;7;85.106383
ThoraricSurgery;kullbackLeibler;7;85.106383
ThoraricSurgery;lorentzian;7;85.106383
ThoraricSurgery;hassanat;7;84.851064
ThoraricSurgery;euclidean;7;84.553191
ThoraricSurgery;cosine;7;84.319149
ThoraricSurgery;bhattacharyya;7;81.893617
vehicle;hassanat;3;67.716408
vehicle;cosine;3;67.265504
vehicle;euclidean;3;65.282623
vehicle;pearson;3;63.158269
vehicle;bhattacharyya;3;25.801034
vehicle;kullbackLeibler;3;25.721576
vehicle;lorentzian;3;24.490633
vehicle;hassanat;5;68.525194
vehicle;cosine;5;67.209625
vehicle;euclidean;5;64.910853
vehicle;pearson;5;64.204457
vehicle;kullbackLeibler;5;25.821705
vehicle;bhattacharyya;5;25.801034
vehicle;lorentzian;5;25.215762
vehicle;hassanat;7;69.300065
vehicle;cosine;7;66.652132
vehicle;pearson;7;65.59916
vehicle;euclidean;7;63.781331
vehicle;bhattacharyya;7;25.801034
vehicle;kullbackLeibler;7;25.763566
vehicle;lorentzian;7;25.285207
wdbc;hassanat;3;95.668616
wdbc;pearson;3;94.662768
wdbc;euclidean;3;92.667641
wdbc;cosine;3;91.848928
wdbc;lorentzian;3;51.233918
wdbc;kullbackLeibler;3;38.340156
wdbc;bhattacharyya;3;37.046784
wdbc;hassanat;5;95.546784
wdbc;pearson;5;94.747563
wdbc;euclidean;5;93.088694
wdbc;cosine;5;92.239766
wdbc;lorentzian;5;55.929825
wdbc;kullbackLeibler;5;38.794347
wdbc;bhattacharyya;5;37.046784
wdbc;hassanat;7;95.459064
wdbc;pearson;7;94.548733
wdbc;euclidean;7;93.176413
wdbc;cosine;7;92.395712
wdbc;lorentzian;7;58.035088
wdbc;kullbackLeibler;7;38.952242
wdbc;bhattacharyya;7;37.046784
