sep=;
dataset;k;step;acc;weights;best_weights;best_acc
seismic-bumps;3;0;94.1589;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];94.1589
seismic-bumps;7;0;93.5426;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];93.5426
seismic-bumps;5;0;93.9264;[0, 0, 0, 0, 0, 0, 104];[0, 0, 0, 0, 0, 0, 104];93.9264
seismic-bumps;5;1;93.9302;[0, 0, 0, 0, 0, 13, 91];[0, 0, 0, 0, 0, 13, 91];93.9302
seismic-bumps;3;1;94.1628;[0, 0, 0, 0, 0, 13, 91];[0, 0, 0, 0, 0, 13, 91];94.1628
seismic-bumps;7;3;93.5465;[0, 0, 0, 0, 0, 39, 65];[0, 0, 0, 0, 0, 39, 65];93.5465
seismic-bumps;5;3;93.9341;[0, 0, 0, 0, 0, 39, 65];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;3;45;94.1705;[0, 0, 0, 13, 0, 0, 91];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;7;50;93.4147;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 0, 39, 65];93.5465
seismic-bumps;3;50;93.4147;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;50;93.4147;[0, 0, 0, 13, 0, 65, 26];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;7;100;93.4302;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 0, 0, 39, 65];93.5465
seismic-bumps;3;100;93.4302;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;100;93.4302;[0, 0, 0, 26, 39, 13, 26];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;7;150;93.3488;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 0, 0, 39, 65];93.5465
seismic-bumps;3;150;91.376;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;150;93.2326;[0, 0, 0, 65, 13, 13, 13];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;3;200;93.4186;[0, 0, 13, 0, 91, 0, 0];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;7;200;93.4186;[0, 0, 13, 0, 91, 0, 0];[0, 0, 0, 0, 0, 39, 65];93.5465
seismic-bumps;5;200;93.4186;[0, 0, 13, 0, 91, 0, 0];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;3;250;94.155;[0, 0, 13, 39, 0, 0, 52];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;250;93.9225;[0, 0, 13, 39, 0, 0, 52];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;7;250;93.4186;[0, 0, 13, 39, 0, 0, 52];[0, 0, 0, 0, 0, 39, 65];93.5465
seismic-bumps;3;300;93.4264;[0, 0, 26, 0, 26, 26, 26];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;300;93.4264;[0, 0, 26, 0, 26, 26, 26];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;7;300;93.4264;[0, 0, 26, 0, 26, 26, 26];[0, 0, 0, 0, 0, 39, 65];93.5465
seismic-bumps;3;350;93.4574;[0, 0, 26, 39, 0, 13, 26];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;350;93.4186;[0, 0, 26, 39, 0, 13, 26];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;7;350;93.4186;[0, 0, 26, 39, 0, 13, 26];[0, 0, 0, 0, 0, 39, 65];93.5465
seismic-bumps;3;400;93.4302;[0, 0, 39, 13, 26, 13, 13];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;400;93.4302;[0, 0, 39, 13, 26, 13, 13];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;7;400;93.4302;[0, 0, 39, 13, 26, 13, 13];[0, 0, 0, 0, 0, 39, 65];93.5465
seismic-bumps;3;450;94.0543;[0, 0, 52, 26, 0, 0, 26];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;450;93.5116;[0, 0, 52, 26, 0, 0, 26];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;7;450;93.4341;[0, 0, 52, 26, 0, 0, 26];[0, 0, 0, 0, 0, 39, 65];93.5465
seismic-bumps;3;500;93.4225;[0, 13, 0, 0, 0, 65, 26];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;500;93.4225;[0, 13, 0, 0, 0, 65, 26];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;7;500;93.4225;[0, 13, 0, 0, 0, 65, 26];[0, 0, 0, 0, 0, 39, 65];93.5465
seismic-bumps;7;532;93.5504;[0, 13, 0, 13, 0, 13, 65];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;550;93.4264;[0, 13, 0, 13, 39, 13, 26];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;550;93.4264;[0, 13, 0, 13, 39, 13, 26];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;7;550;93.4264;[0, 13, 0, 13, 39, 13, 26];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;600;93.4651;[0, 13, 0, 52, 13, 13, 13];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;600;93.4264;[0, 13, 0, 52, 13, 13, 13];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;7;600;93.3488;[0, 13, 0, 52, 13, 13, 13];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;650;93.4186;[0, 13, 13, 13, 13, 13, 39];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;650;93.4186;[0, 13, 13, 13, 13, 13, 39];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;7;650;93.4186;[0, 13, 13, 13, 13, 13, 39];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;700;93.8488;[0, 13, 26, 0, 0, 13, 52];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;700;93.5;[0, 13, 26, 0, 0, 13, 52];[0, 0, 0, 0, 0, 39, 65];93.9341
seismic-bumps;7;700;93.4225;[0, 13, 26, 0, 0, 13, 52];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;5;720;93.938;[0, 13, 26, 13, 0, 0, 52];[0, 13, 26, 13, 0, 0, 52];93.938
seismic-bumps;3;750;93.4186;[0, 13, 26, 39, 26, 0, 0];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;750;93.4186;[0, 13, 26, 39, 26, 0, 0];[0, 13, 26, 13, 0, 0, 52];93.938
seismic-bumps;7;750;93.4186;[0, 13, 26, 39, 26, 0, 0];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;800;93.8411;[0, 13, 52, 13, 0, 0, 26];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;800;93.4922;[0, 13, 52, 13, 0, 0, 26];[0, 13, 26, 13, 0, 0, 52];93.938
seismic-bumps;7;800;93.4147;[0, 13, 52, 13, 0, 0, 26];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;850;93.4147;[0, 26, 0, 0, 65, 0, 13];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;850;93.4147;[0, 26, 0, 0, 65, 0, 13];[0, 13, 26, 13, 0, 0, 52];93.938
seismic-bumps;7;850;93.4147;[0, 26, 0, 0, 65, 0, 13];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;900;93.4535;[0, 26, 0, 52, 0, 13, 13];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;900;93.4147;[0, 26, 0, 52, 0, 13, 13];[0, 13, 26, 13, 0, 0, 52];93.938
seismic-bumps;7;900;93.3372;[0, 26, 0, 52, 0, 13, 13];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;950;93.4264;[0, 26, 13, 26, 13, 13, 13];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;950;93.4264;[0, 26, 13, 26, 13, 13, 13];[0, 13, 26, 13, 0, 0, 52];93.938
seismic-bumps;7;950;93.4264;[0, 26, 13, 26, 13, 13, 13];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;1000;93.8527;[0, 26, 39, 0, 0, 0, 39];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;1000;93.5039;[0, 26, 39, 0, 0, 0, 39];[0, 13, 26, 13, 0, 0, 52];93.938
seismic-bumps;7;1000;93.4264;[0, 26, 39, 0, 0, 0, 39];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;1050;93.4225;[0, 39, 0, 0, 39, 0, 26];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;1050;93.4225;[0, 39, 0, 0, 39, 0, 26];[0, 13, 26, 13, 0, 0, 52];93.938
seismic-bumps;7;1050;93.4225;[0, 39, 0, 0, 39, 0, 26];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;1100;93.4264;[0, 39, 13, 0, 26, 0, 26];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;1100;93.4264;[0, 39, 13, 0, 26, 0, 26];[0, 13, 26, 13, 0, 0, 52];93.938
seismic-bumps;7;1100;93.4264;[0, 39, 13, 0, 26, 0, 26];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;1150;93.4147;[0, 39, 39, 0, 13, 13, 0];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;1150;93.4147;[0, 39, 39, 0, 13, 13, 0];[0, 13, 26, 13, 0, 0, 52];93.938
seismic-bumps;7;1150;93.4147;[0, 39, 39, 0, 13, 13, 0];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;1200;93.4341;[0, 52, 13, 0, 13, 0, 26];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;1200;93.4341;[0, 52, 13, 0, 13, 0, 26];[0, 13, 26, 13, 0, 0, 52];93.938
seismic-bumps;7;1200;93.4341;[0, 52, 13, 0, 13, 0, 26];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;3;1250;93.4302;[0, 65, 0, 39, 0, 0, 0];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;7;1250;93.4302;[0, 65, 0, 39, 0, 0, 0];[0, 13, 0, 13, 0, 13, 65];93.5504
seismic-bumps;5;1250;93.4302;[0, 65, 0, 39, 0, 0, 0];[0, 13, 26, 13, 0, 0, 52];93.938
seismic-bumps;3;1300;93.4147;[13, 0, 0, 0, 13, 65, 13];[0, 0, 0, 13, 0, 0, 91];94.1705
seismic-bumps;5;1300;93.4147;[13, 0, 0, 0, 13, 65, 13];[0, 13, 26, 13, 0, 0, 52];93.938
seismic-bumps;7;1300;93.4147;[13, 0, 0, 0, 13, 65, 13];[0, 13, 0, 13, 0, 13, 65];93.5504
